alpha0,alpha1,alpha2,mu1,mu2,sigma1,sigma2
0.8515660114408309,1.136502956612038,2.1034564527012254,1.0028725055446162,1.0006458940977476,0.48475545414250637,0.7956658978718534
0.6163881177931771,1.5607532462899485,2.977211181718201,1.0028721090023185,1.0038141820400035,0.6226118572356284,1.2147651898832472
0.3462943548460111,9.811890852995386,2.476991643366521,1.0053255293872825,1.0004255655809153,3.638650890624761,0.8464904600568446
1.2224207582213953,3.6355077141543433,2.449131409782638,1.0003306514126562,1.0003306514126562,1.7899464814141786,1.2257862233430148
0.9351852312993489,2.1854294676558155,1.8499640655512886,1.0024323261647974,1.002520576104273,1.0861751235162924,0.9289263391356061
1.5685372456406148,2.3452262539699116,4.993093849882468,1.0003074763255495,1.0003074763255495,1.3919479150120644,2.5004100821847293
1.0484534292674237,2.826726785891166,2.1079822667205175,1.0011795370730183,1.0002397017565883,1.3526230652397444,1.1504954929705131
1.0812812575148798,2.137644639405461,1.8421219344917863,1.0001623343823476,1.0042703291829953,1.0053079601697477,0.8893450437057394
0.942363938121678,1.5246259655044931,1.6847293552890128,1.0024387868739608,1.0024387868739608,0.7403335703383416,0.9493865776341944
0.9091631172934056,3.2356714755778597,5.423540783233075,1.0033190303481998,1.0013783093480915,1.5356129721604834,2.4259845692759203
